ticker,stock_name
BEPJ,Brookfield BRP Holdings 7 250 Perpetual Subordinated Notes
BFAM,브라이트 호라이즌 패밀리 솔루션
BFLY,버터플라이 네트워크
BGSF,BGSF
BHLB,버크셔 힐스 뱅코프
BHVN,바이오헤이븐
BILL,빌닷컴 홀딩스
BIPC,브룩필드 인프라스트럭처
BIPH,Brookfield Infrastructure Fin Sub Notes
BIPI,BIP Bermuda Holdings I 5 125 Perpetual Subordinated Notes
BIPJ,Brookfield Infrastructure Finance 7 250 Subordinated Notes due 2084
BIRK,버컨스톡 홀딩
BKKT,백트 홀딩스
BKSY,블랙스카이 테크놀로지
BLCO,바슈롬
BLDR,빌더스 퍼스트소스
BLND,블렌드 랩스
BMEZ,BlackRock Health Sciences Term Closed End Fund
BNED,반스 앤 노블 에듀케이션
BODI,비치바디 컴퍼니
BOOT,부트 반 홀딩스
BORR,보르 드릴링
BRBR,벨링 브랜드
BRCC,BRC
BRDG,브리지 인베스트먼트 그룹 홀딩스
BRFS,BRF ADR
BROS,더치 브로스
BRSP,브라이트스파이어 캐피탈
BSAC,방코 산탄데르 칠레 ADR
BSBR,방쿠 산탄데르 브라질 ADR
BSTZ,BlackRock Science and Technology Term Closed End Fund
BTCM,BIT 마이닝 ADR
BURL,벌링턴 스토어스
BWLP,BW LPG
BWMX,베터웨어 데 멕시코
BWNB,밥콕 앤 월콕스 엔터프라이시스 선순위 채권 6.500% 만기 2026년
BWSN,밥콕 앤 월콕스 엔터프라이시스 선순위 채권 8.125% 만기 2026년
BWXT,BWX 테크놀로지스
BXMT,블랙스톤 모기지 트러스트
BXMX,Nuveen S And P 500 Buy Write Income Closed End Fund
BXSL,블랙스톤 시큐어드 렌딩 펀드
BYON,비욘드
CAAP,코퍼래시온 어메리카 에어포츠
CABO,케이블 원
CACI,CACI 인터내셔널
CADE,케이던스 뱅크
CALX,캘릭스
CANG,캉고 ADR
CAPL,CrossAmerica Partners Common Units
CARR,캐리어 글로벌
CARS,카스닷컴
CATO,케이토
CAVA,카바 그룹
CBAN,콜로니 뱅코프
CBNA,체인 브리지 뱅코프
CBRE,CBRE 그룹
CCIA,칼라일 크레디트 인컴 펀드 우선주 Series A
CCIF,Carlyle Credit Income Fund
CCRD,코어카드
CDLR,카델러 A/S ADR
CDRE,캐드리 홀딩스
CEPU,센트럴 푸에르토 ADR
CGAU,센테라 골드
CHCT,커뮤니티 헬스케어 트러스트
CHGG,체그
CHMI,체리힐 모기지 인베스트먼트
CHPT,차지포인트 홀딩스
CHWY,츄이
CICB,CION Investment 7 50 Notes due 2029
CIEN,시에나
CIMN,키메라 인베스트먼트 선순위 채권 9.0% 만기 2029년 5월
CIMO,키메라 인베스트먼트 선순위 채권 9.250% 만기 29년 8월
CINT,Ci&T
CION,사이온 인베스트먼트
CIVI,키비타스 리소시스
CLBR,콜롬비에르 애퀴지션 II
CLCO,쿨 컴퍼니
CLDT,채텀 로징 트러스트
CLPR,클리퍼 리얼티
CLVT,클래리베이트
CMBT,CMB.테크
CMCM,치타 모바일 ADR
CMRE,코스타마레
CMSA,CMS Energy 5.625 Junior Subordinated Notes Exp 2078
CMSC,CMS Energy 5 875 Junior Subordinated Notes due 15 Oct 2078
CMSD,CMS Energy 5.875 Junior Subordinated Notes Exp 1 March 2079
CMTG,클라로스 모기지 트러스트
CNMD,콘메드
CNNE,칸네 홀딩스
CODI,컴퍼스 다이버시파이드 홀딩스
COHR,코히런트
COLD,아메리콜드 리얼티 트러스트
COMP,컴퍼스
COOK,트래저
COTY,코티
COUR,코세라
CPAC,세멘토스 파카스마요 ADR
CPAY,콜페이
CPNG,쿠팡
CPRI,카프리홀딩스
CRBD,Corebridge Financial 6 375 Junior Subordinated Notes due 2064
CRBG,코어브릿지 파이낸셜
CRGY,크레센트 에너지
CSAN,코샌 ADR
CSTM,콘스텔리움
CTBB,Qwest 6.5 Notes Exp 01 Sept 2056
CTDD,Qwest 6 75 Notes Expiry 2057
CTEV,클라리텝
CTOS,커스텀 트럭 원 소스
CTRA,코테라 에너지
CTRE,케어트러스트 리츠 (REIT)
CTRI,센추리 홀딩스
CTVA,코르테바
CUBE,큐브스마트
CUBI,커스터머스 뱅코프
CULP,컬프
CURB,커브라인 프로퍼티스
CURV,토리드 홀딩스
CVEO,시비오
CVLG,코버넌트 로지스틱스 그룹
CVNA,카바나
CWAN,클리어워터 애널리틱스 홀딩스
CWEN,클리어웨이 에너지 Class C
DAVA,엔다바 ADR
DBRG,디지털브리지 그룹
DECK,덱커 아웃도어
DELL,델테크놀로지
DFIN,도넬리 파이낸셜 솔루션스
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund
DINO,HF 싱클레어
DLNG,Dynagas LNG Partners Common Units
DNOW,디나우
DOCN,디지털오션 홀딩스
DOCS,독시미티
DOLE,돌
DOUG,더글라스 엘리먼
DUKB,듀크 에너지 후순위 채권 5.625% 만기 2078년 9월
DXYZ,데스티니 테크100
EARN,엘링턴 크레디트
ECAT,BlackRock ESG Capital Allocation Term Closed End Fund
ECCC,이글 포인트 크레디트 우선주 Series C 6.5% 만기 2031년
ECCF,이글 포인트 크레디트 우선주 Series A 8.00% 만기 2031년
ECCU,Eagle Point Credit Company 7 75% Notes due 2030
ECCV,Eagle Point Credit Company 5 375 Notes due 2029
ECCW,Eagle Point Credit Company 6 75 Notes Due 2031
ECCX,Eagle Point Credit 6.6875 Notes Exp 30 Apr 2028
ECVT,에코비스트
EFXT,에너플렉스
EHAB,인해빗
EICA,이글 포인트 인컴 우선주 Series A 5%
EICB,이글 포인트 인컴 우선주 Series B 7.75%
EICC,이글 포인트 인컴 우선주 Series C 8% 만기 2029년
EIIA,이글 포인트 인스티튜셔널 인컴 펀드 우선주 Series A 8.125%
ELAN,엘란코 애니멀 헬스
ELME,엘름 커뮤니티스
ELPC,파라나인스 데 에네르히아 ADR
ENFY,인라이티파이
ENIC,에넬 칠레 ADR
ENOV,이노비스
ENVA,이노바 인터내셔널
EPAC,에너팩 툴 그룹
EPAM,이팸 시스템즈
EPRT,에센셜 프로퍼티 리얼티
EQBK,애퀴티 뱅크셰어스
EQNR,에퀴노르 ADR
ESAB,ESAB
ESNT,이센트 그룹
ESRT,엠파이어 스테이트 리얼티 트러스트
ESTC,엘라스틱
ETWO,E2오픈 페어런트 홀딩스
EVEX,이브 홀딩
EVRI,에브리 홀딩스
EVTC,에버테크
EVTL,버티컬 에어로스페이스
EXPD,익스페디터스 인터내셔널 오브 워싱턴
FBIN,포츈 브랜즈 홈 앤 시큐리티
FBRT,프랭클린 BSP 리얼티 트러스트
FCPT,포 코너스 프로퍼티 트러스트
FCRX,Crescent Capital BDC 5 00 Notes Due 2026
FEDU,포시즌스 에듀케이션 (케이먼) ADR
FENG,피닉스 뉴 미디어 ADR
FERG,퍼거슨 엔터프라이즈
FFWM,퍼스트 파운데이션
FGSN,F&G Annuities And Life 7 300 Junior Subordinated Notes Due 2065
FICO,페어 아이작
FIGS,피그스
FIHL,피델리스 인슈어런스 홀딩스
FINS,Angel Oak Financial Strategies Income Term Trust
FINV,핀볼루션 그룹 ADR
FLNG,플렉스 LNG
FLOC,플로우코 홀딩스
FLUT,플러터 엔터테인먼트
FOUR,쉬프트4 페이먼트
FRGE,포지 글로벌 홀딩스
FSCO,FS Credit Opportunities Corp.
FSLY,패스틀리
FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd
FUBO,푸보티비
FVRR,파이버 인터내셔널
GATX,GATX
GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust
GBCI,글레이셔 뱅코프
GBLI,글로벌 인뎀니티 그룹
GBTG,글로벌 비지니스 트래블 그룹
GCTS,GCT 세미컨덕터 홀딩
GDDY,고대디
GDOT,그린 닷
GENI,지니어스 스포츠
GETY,게티 이미지스 홀딩스
GHLD,길드 홀딩스
GKOS,글라우코스
GLOB,글로번트
GMED,글로부스 메디컬
GMRE,글로벌 메디컬 릿츠
GNRC,제네락 홀딩스
GNTY,개런티 뱅크셰어스
GOLF,아쿠쉬네트 홀딩스
GOOS,캐나다 구스 홀딩스
GOTU,카오투 테크에듀 ADR
GPJA,Georgia Power 5 Junior Subordinated Notes Exp 1 Oct 2077 Series 2017A
GPMT,그래니트 모인트 모기지 트러스트
GPOR,걸프포트 에너지
GPRK,지오파크
GRBK,그린 브릭 파트너스
GRDN,가디언 파마시 서비시스
GRMN,가민
GRND,그라인더
GRNT,그래나이트 릿지 리소시스
GROV,그로브 콜라보레이티브 홀딩스
GSBD,골드만삭스 BDC
GTES,게이츠 인더스트리얼
GTLS,차트 인더스트리스
GWRE,가이드와이어 소프트웨어
HAFN,하프니아
HASI,HA 서스테이너블 인프라 캐피털
HAYW,해이워드 홀딩스
HCXY,Hercules Capital 6 25 Notes due 2033
HESM,헤스 미드스트림
HFRO,Highland Opportunities and Income Fund
HGLB,Highland Global Allocation Fund
HGTY,해거티
HIMS,힘스 & 허즈
HIPO,히포 홀딩스
HLIO,헬리오스 테크놀로지스
HLLY,홀리
HOMB,홈 뱅크셰어스
HOUS,애니웨어 리얼 에스테이트
HRTG,헤리티지 인슈어런스 홀딩스
HSBC,HSBC 홀딩스 ADR
HSHP,히말라야 쉬핑
HTFB,Horizon Technology Finance 4.875% Notes due 2026
HTFC,Horizon Technology Finance Corporation 6 25 Notes due 2027
HTGC,허큘리스 캐피털
HUBB,허벨
HUBS,허브스팟
HUYA,후야 ADR
HYAC,헤이메이커 애퀴지션 4
IBTA,아이보타
IIIN,인스틸 인더스트리
IIPR,이노베이티브 인더스트리얼 프로퍼티
IMAX,아이맥스
INFA,인포매티카
INFY,인포시스 ADR
INGM,인그램 마이크로 홀딩
INGR,인그리디언
INSP,인스파이어 메디컬 시스템
INSW,인터네셔널 시웨이스
INVH,인비테이션 홈스
INVX,이노벡스 인터내셔널
IONQ,아이온큐
ITGR,인티거 홀딩스
ITUB,이타우 우니방쿠 홀딩 ADR
JACS,잭슨 애퀴지션 II
JBGS,JBG 스미스 프로퍼티
JBTM,JBT 마렐
JELD,젤드-웬 홀딩
JILL,제이질
JMIA,주미아 테크놀로지 AG ADR
JNPR,주니퍼 네트웍스
JOBY,조비 에비에이션
KBDC,케인 앤더슨
KEYS,키사이트 테크놀로지스
KFRC,K포스
KIND,넥스트도어 홀딩스
KKRS,KKR Group Finance Co IX 4.625% Subordinated Notes due 2061
KMPB,켐퍼 후순위채권 만기 5.875% 2062년
KMPR,켐퍼
KNOP,KNOT Offshore Partners Common Units
KNSL,킨세일 캐피털 그룹
KNTK,키네틱 홀딩스
KODK,이스트먼 코닥
KORE,코어 그룹 홀딩스
KREF,KKR 리얼에스테이트 파이낸스 트러스트
KRMN,카르만 홀딩스
KUKE,쿠케 뮤직 홀딩 ADR
KVUE,켄뷰
KVYO,클라비요
LADR,래더 캐피털
LANV,랑방 그룹 홀딩스
LBRT,리버티 오일필드 서비스
LCII,LCI 인더스트리스
LDOS,레이도스 홀딩스
LEVI,리바이 스트라우스
LITB,라이트인더박스 홀딩 ADR
LMND,레모네이드
LOAR,로어 홀딩스
LOCL,로컬 바운티
LOMA,로마 네그라 콤파니아 인더스트리얼 ADR
LSPD,라이트스피드 커머스
LUCK,럭키 스트라이크 엔터테인먼트
LUMN,루멘 테크놀로지스
LVWR,AEA-브릿지스 임팩트
MAGN,마그네라
MAIN,메인 스트리트 캐피털
MANU,맨체스터 유나이티드
MATV,마티브 홀딩스
MATX,매트슨
MEGI,NYLI CBRE Global Infrstrctr Megatrends Term Fd
MFAN,MFA 파이낸셜 선순위 채권 8.875% 2029년 만기
MFAO,MFA 파이낸셜 선순위채권 9.00% 만기 2029년 8월
MGRB,Affiliated Managers Group 4 750 Junior Subordinated Notes due 2060
MGRD,Affiliated Managers Group 4 200 Junior Subordinated Notes due 2061
MGRE,Affiliated Managers Group 6 750 Junior Subordinated Notes Due 2064
MHLA,Maiden 6.625 Notes Exp 2046
MHNC,Maiden Holdings North America 7.75% Notes Exp 01 DEC 2043
MITN,AG 모기지 인베스트먼트 트러스트 선순위 채권 9.5% 만기 2029년 2월
MITP,AG 모기지 인베스트먼트 트러스트 선순위 채권 9.5% 만기 2029년 5월
MITT,AG 모기지 인베스트먼트
MLNK,머리디언링크
MNSO,미니소 그룹 홀딩 ADR
MODG,탑골프 캘러웨이 브랜즈
MOGU,모구 ADR
MPLX,MPLX Common Units
MSCI,MSCI
MSDL,모간스탠리 다이렉트 렌딩 펀드
MSGE,매디슨 스퀘어 가든 엔터테인먼트
MSGS,매디슨 스퀘어 가든 스포츠
MSIF,MSC 인컴 펀드
MTAL,맥 코퍼
MTDR,마타도 리소시스
MTRN,마테리언
MTUS,메탈루스
MUFG,미쓰비시 UFJ 파이낸셜 그룹 ADR
MUSA,머피 USA
NABL,엔-에이블
NATL,NCR 아틀레오스
NBHC,내셔널 뱅크 홀딩스
NBXG,Neuberger Berman Next Gen Connectivity Fund Inc.
NCDL,누빈 처칠 다이렉트 렌딩
NCLH,노르웨이지안 크루즈 라인 홀딩스
NDMO,Nuveen Dynamic Municipal Opportunities Fund
NEUE,뉴헬스
NEXA,넥사 리소스
NGVC,내추럴 그로서즈 바이 바이타민 코티지
NGVT,인제비티
NINE,나인 에너지 서비스
NLOP,넷 리즈 오피스 프로퍼티스
NMAI,Nuveen Multi-Asset Income Fund
NMCO,Nuveen Municipal Credit Opportunities Fund
NOAH,노아 홀딩스 ADR
NOMD,노마드 푸드
NOTE,피스칼노트 홀딩스
NOVA,선노바 에너지 인터내셔널
NPCT,Nuveen Core Plus Impact Fund
NPFD,Nuveen Variable Rate Preferred Income Closed End Fund
NPKI,NPK 인터내셔널
NPWR,넷 파워
NRDY,너디
NREF,넥스포인트 리얼 에스테이트 파이낸스
NRGV,에너지 볼트 홀딩스
NRUC,National Rural Utilities Cooperative Finance 5.500% Subordinated Notes Exp 15
NTST,넷에스티리츠
NUVB,누베이션 바이오
NVGS,내비게이터 홀딩스
NVRI,엔비리
NVST,엔비스타 홀딩스
NXDT,넥스포인트 다이버시파이드 리얼 에스테이트 트러스트
NXRT,넥스포인트 레지덴셜 트러스트
OBDC,블루 아울 캐피털
OCFT,원커넥트 파이낸셜 테크놀로지 ADR
OKLO,오클로
ONIT,오니티 그룹
ONON,온 홀딩
ONTF,ON24
ONTO,온투 이노베이션
OOMA,우마
OPAD,오퍼패드 솔루션스
OPFI,옵파이
ORCL,오라클
OSCR,오스카 헬스
OTIS,오티스 월드와이드
OWLT,오울렛
PAAS,팬 아메리카 실버
PACK,란팍 홀딩스
PACS,팩스 그룹
PAGS,파그세구로 디지털
PARR,파 퍼시픽 홀딩스
PATH,유아이패스
PAXS,PIMCO Access Income Fund
PAYC,페이콤 소프트웨어
PCOR,프로코어테크놀러지스
PDCC,펄 다이버 크레디트
PDPA,펄 다이버 크레딧 우선주 Series A 8.00%
PERF,퍼펙트
PFGC,퍼포먼스 푸드 그룹
PFLT,페넌트파크 플로팅 레이트 캐피탈
PFSI,페니맥 파이낸셜 서비스
PGRE,파라마운트 그룹
PHIN,피니아
PINE,알파인 인컴 프로퍼티 트러스트
PINS,핀터레스트
PIPR,파이퍼 샌들러 컴퍼니스
PKST,피크스톤 리얼티 트러스트
PLNT,플래닛 피트니스
PLOW,더글라스 다이내믹스
PLYM,플리머스 인더스트리얼 리츠
PMTU,페니맥 모기지 인베스트먼트 선순위 채권 8.5% 만기 2028년
PMTV,페니맥 모기지 인베스트먼트 선순위 채권 9.00% 만기 30년 2월
PNNT,페넌트파크 인베트스트먼트
POST,포스트 홀딩스
PRGO,페리고
PRIM,프리모리스 서비시스
PRKS,유나이티드 파크 & 리조트
PRLB,프로토 랩스
PRMB,프리모 브랜드
PRSU,퍼슈트 어트랙션스 앤 호스피탈리티
PSBD,파머 스퀘어 캐피털 BDC
PSFE,페이 세이프
PSQH,PSQ 홀딩스
PSTG,퓨어 스토리지
PSTL,포스털 리얼티 트러스트
PUMP,프로페트로 홀딩
QBTS,디 웨이브 퀀텀
QGEN,퀴아젠
QTWO,Q2 홀딩스
QUAD,쿼드/그래픽스
QVCC,QVC 선순위 담보채권 6.250% 만기 2068년
QVCD,QVC 선순위 담보채권 6.375% 만기 2067년
RACE,페라리
RAMP,라이브램프 홀딩스
RBLX,로블록스
RBOT,비카리어스 서지컬
RBRK,루브릭
RCUS,아쿠스 바이오사이언스
RDDT,레딧
RELX,렐엑스 ADR
RERE,AT리뉴 ADR
REVG,REV 그룹
REXR,렉스포드 인더스트리얼 리얼티
REZI,레지디오 테크놀러지
RFMZ,RiverNorth Flexible Municipal Income Fund II Inc.
RITM,리듬 캐피탈
RLTY,Cohen & Steers Real Estate Opps and Income Fund
RMAX,리/맥스 홀딩스
RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.
RNGR,레인져 에너지 서비스
RNST,르네산트
RSKD,리스키파이드
RVLV,리볼브 그룹
RVTY,레비티
RWTN,레드우드 트러스트 선순위 채권 9.125% 만기 2029년 3월
RWTO,레드우드 트러스트 선순위채권 9.00% 만기 2029년 9월
RWTP,레드우드 트러스트 선순위채권 9.125% 만기 30년 3월
RYAM,레이오니어 어드밴스드 머티리얼
RYAN,라이언 스페셜티 홀딩스
SABA,Saba Capital Income & Opportunities Fund II
SAFE,세이프홀드
SARO,스탠다드에어로
SBSI,사우스사이드 뱅크셰어스
SBSW,시바니 스틸워터 ADR
SCCO,서던 코퍼
SCHW,찰스 슈왑
SDHC,스미스 더글러스 홈스
SDHY,PGIM Short Duration High Yield Opportunities Fund
SDRL,시드릴
SEMR,SEM러시 홀딩스
SFBS,서비스퍼스트 뱅크셰어스
SGHC,SGHC
SHAK,쉐이크쉑
SHCO,소호 하우스 & 코
SHEL,쉘 ADR
SILA,실라 리얼티 트러스트
SITC,사이트 센터스
SITE,사이트원 랜드스케이프 서플라이
SKIL,스킬소프트
SKLZ,스킬즈
SKYH,스카이 하버 그룹
SLGN,실간 홀딩스
SLQT,셀렉트코트
SLVM,실바모
SMBK,스마트파이낸셜
SMFG,스미토모 미쓰이 파이낸셜그룹 ADR
SMHI,시코 마린 홀딩스
SMWB,시밀러웹
SNAP,스냅
SNDA,소니다 시니어 리빙
SNDR,슈나이더 내셔널
SNOW,스노우플레이크
SOBO,사우스 보우
SOJC,Southern Junior Subordinated Notes due 1 December 2077 Series B
SOJD,Southern Jr Sub Notes Series 2020A Exp 30 Jan 2080
SOJE,Southern 2020 Series C 4 20 Junior Subordinated Notes due 15th October 2060
SOJF,Southern 6 50 Junior Subordinated Notes Series 2025A Due March 15 2085
SOLV,솔벤텀
SONY,소니 그룹 ADR
SPCE,버진 갤럭틱 홀딩스
SPGI,S&P 글로벌
SPHR,스피어 엔터테인먼트
SPIR,스파이어 글로벌
SPMA,사운드 포인트 머리디어 캐피털 우선주 Seires A 8%
SPMC,사운드 포인트 머리디언 캐피털
SPNT,시리우스포인트
SPOT,스포티파이 테크놀러지
SPRU,스프러스 파워 홀딩
SPXC,SPX 테크놀로지스
SPXX,Nuveen S&P 500 Dynamic Overwrite Closed End Fund
SQNS,시퀀스 커뮤니케이션즈 ADR
SREA,Sempra 5 750 Junior Subordinated Notes due 2079
SRFM,서프 에어 모빌리티
SSTK,셔터스톡
STAG,스태그 인더스트리얼
STEL,스텔라 뱅코프
STEM,스템
STEW,SRH Total Return Fund，Inc
STLA,스텔란티스
STNG,스콜피오 탱커스
STVN,스테바나토 그룹
STWD,스타우드 프로퍼티 트러스트
SUPV,그루포 수페르비엘 ADR
TALO,탈로스 에너지
TBBB,BBB 푸드
TDOC,텔라닥 헬스
TEAF,Tortoise Sustainable and Social Impact Term Fund
TECK,텍 리소스
TEVA,테바제약 ADR
TFII,TFI 인터내셔널
TFPM,트리플 플래그 프레셔스 메탈스
TFSA,Terra Income Fund VI 7.00% Notes due 2026
TGLS,테크노글래스
TGNA,테그나
TIMB,팀 ADR
TISI,팀
TIXT,텔러스 인터내셔널 (CDA)
TLYS,틸리스
TMHC,테일러 모리슨 홈
TNET,트라이넷 그룹
TOST,토스트
TPTA,Terra Property Trust 6.00% Notes due 2026
TPVG,트리플포인트 벤처 그로스 BDC
TRAK,레포지트랙
TREX,트렉스
TRGP,타르가 리소스
TRNO,테레노 리얼티
TROX,트로녹스 홀딩스
TRTX,TPG 리 파이낸스 트러스트
TSLX,TPG 스페셜티 렌딩
TTAM,타이탄 아메리카
TUYA,투야 ADR
TWLO,트윌리오
TXNM,TXNM 에너지
UBER,우버
UHAL,유홀 홀딩
UNFI,유나이티드 내추럴 푸드
UNMA,Unum Group 6.25% Junior Subordinated Exp 2058
USAC,USA Compression Partners Common Units
USFD,US 푸즈 홀딩
USNA,유사나 헬스 사이언스
USPH,US 피지컬 테라피
UWMC,UWM 홀딩스
VALE,발레 ADR
VATE,이노베이트
VEEV,비바 시스템즈
VICI,비치 프로퍼티스
VIPS,브이아이피숍 홀딩스 ADR
VIST,비스타 에너지
VLRS,콘트롤라도라 부엘라 콤파니아 아비아시온 ADR
VLTO,베랄토
VNCE,빈스 홀딩
VOYA,보야 파이낸셜
VRTS,비르투스 인베스트먼트 파트너스
VSCO,빅토리아 시크릿 & 코
VSTS,베스티스
VTEX,브이텍스
VTLE,바이탈 에너지
VTMX,베스타 리얼 에스테이트 ADR
VTOL,브리스토우 그룹
WEAV,위브 커뮤니케이션스
WELL,웰타워
WLKP,Westlake Chemical Partners Units
WLYB,존 윌리 앤 손 Class B
WOLF,울프스피드
WRBY,와비 파커
WTRG,에센셜 유틸리티스
WTTR,셀렉트 에너지 서비스
XFLT,XAI Octagon Floating Rate & Alternative Income Tr
XIFR,XPLR 인프라스트럭처
XPER,엑스페리
XPEV,샤오펑 ADR
XPOF,엑스포넨셜 피트니스
XPRO,엑스프로 그룹 홀딩스
YALA,얄라 그룹 ADR
YELP,옐프
YETI,예티 홀딩스
YEXT,이엑스트
YUMC,염 차이나 홀딩스
ZEPP,젭 헬스 ADR
ZETA,제타 글로벌 홀딩스
ZVIA,제비아
